2021-08-17T17:50:34.5341713Z stderr F I0817 17:50:34.530000       1 serving.go:347] Generated self-signed cert in-memory
2021-08-17T17:50:41.6605897Z stderr F E0817 17:50:41.660249       1 reflector.go:138] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.StorageClass: failed to list *v1.StorageClass: storageclasses.storage.k8s.io is forbidden: User "system:kube-scheduler" cannot list resource "storageclasses" in API group "storage.k8s.io" at the cluster scope
2021-08-17T17:50:41.8008469Z stderr F E0817 17:50:41.800616       1 reflector.go:138] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.PodDisruptionBudget: failed to list *v1.PodDisruptionBudget: poddisruptionbudgets.policy is forbidden: User "system:kube-scheduler" cannot list resource "poddisruptionbudgets" in API group "policy" at the cluster scope
2021-08-17T17:50:41.8086675Z stderr F E0817 17:50:41.808499       1 reflector.go:138] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.Pod: failed to list *v1.Pod: pods is forbidden: User "system:kube-scheduler" cannot list resource "pods" in API group "" at the cluster scope
2021-08-17T17:50:41.9551456Z stderr F E0817 17:50:41.954921       1 reflector.go:138] k8s.io/apiserver/pkg/server/dynamiccertificates/configmap_cafile_content.go:206: Failed to watch *v1.ConfigMap: failed to list *v1.ConfigMap: configmaps "extension-apiserver-authentication" is forbidden: User "system:kube-scheduler" cannot list resource "configmaps" in API group "" in the namespace "kube-system"
2021-08-17T17:50:41.98985Z stderr F E0817 17:50:41.989656       1 reflector.go:138] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.CSIDriver: failed to list *v1.CSIDriver: csidrivers.storage.k8s.io is forbidden: User "system:kube-scheduler" cannot list resource "csidrivers" in API group "storage.k8s.io" at the cluster scope
2021-08-17T17:50:42.0009024Z stderr F E0817 17:50:42.000690       1 reflector.go:138] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.PersistentVolume: failed to list *v1.PersistentVolume: persistentvolumes is forbidden: User "system:kube-scheduler" cannot list resource "persistentvolumes" in API group "" at the cluster scope
2021-08-17T17:50:42.0453436Z stderr F E0817 17:50:42.045010       1 reflector.go:138] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.StatefulSet: failed to list *v1.StatefulSet: statefulsets.apps is forbidden: User "system:kube-scheduler" cannot list resource "statefulsets" in API group "apps" at the cluster scope
2021-08-17T17:50:42.0489409Z stderr F E0817 17:50:42.048663       1 reflector.go:138] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.ReplicaSet: failed to list *v1.ReplicaSet: replicasets.apps is forbidden: User "system:kube-scheduler" cannot list resource "replicasets" in API group "apps" at the cluster scope
2021-08-17T17:50:42.1388681Z stderr F E0817 17:50:42.137735       1 reflector.go:138] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.Service: failed to list *v1.Service: services is forbidden: User "system:kube-scheduler" cannot list resource "services" in API group "" at the cluster scope
2021-08-17T17:50:44.7675247Z stderr F I0817 17:50:44.767269       1 leaderelection.go:243] attempting to acquire leader lease kube-system/kube-scheduler...
2021-08-17T17:50:44.7799876Z stderr F I0817 17:50:44.779712       1 leaderelection.go:253] successfully acquired lease kube-system/kube-scheduler
2021-08-17T17:50:44.9674345Z stderr F I0817 17:50:44.965112       1 shared_informer.go:247] Caches are synced for client-ca::kube-system::extension-apiserver-authentication::client-ca-file 
