2021-08-17T17:50:34.422793Z stderr F I0817 17:50:34.422585       1 serving.go:347] Generated self-signed cert in-memory
2021-08-17T17:50:41.7269662Z stderr F E0817 17:50:41.726788       1 reflector.go:138] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1beta1.CSIStorageCapacity: failed to list *v1beta1.CSIStorageCapacity: csistoragecapacities.storage.k8s.io is forbidden: User "system:kube-scheduler" cannot list resource "csistoragecapacities" in API group "storage.k8s.io" at the cluster scope
2021-08-17T17:50:41.7848861Z stderr F E0817 17:50:41.784449       1 reflector.go:138] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.PodDisruptionBudget: failed to list *v1.PodDisruptionBudget: poddisruptionbudgets.policy is forbidden: User "system:kube-scheduler" cannot list resource "poddisruptionbudgets" in API group "policy" at the cluster scope
2021-08-17T17:50:41.9218737Z stderr F E0817 17:50:41.921329       1 reflector.go:138] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.Node: failed to list *v1.Node: nodes is forbidden: User "system:kube-scheduler" cannot list resource "nodes" in API group "" at the cluster scope
2021-08-17T17:50:41.9308412Z stderr F E0817 17:50:41.930652       1 reflector.go:138] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.CSINode: failed to list *v1.CSINode: csinodes.storage.k8s.io is forbidden: User "system:kube-scheduler" cannot list resource "csinodes" in API group "storage.k8s.io" at the cluster scope
2021-08-17T17:50:41.9924995Z stderr F E0817 17:50:41.992363       1 reflector.go:138] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.Pod: failed to list *v1.Pod: pods is forbidden: User "system:kube-scheduler" cannot list resource "pods" in API group "" at the cluster scope
2021-08-17T17:50:42.0183227Z stderr F E0817 17:50:42.017747       1 reflector.go:138] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.ReplicationController: failed to list *v1.ReplicationController: replicationcontrollers is forbidden: User "system:kube-scheduler" cannot list resource "replicationcontrollers" in API group "" at the cluster scope
2021-08-17T17:50:42.1981311Z stderr F E0817 17:50:42.197297       1 reflector.go:138] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.StorageClass: failed to list *v1.StorageClass: storageclasses.storage.k8s.io is forbidden: User "system:kube-scheduler" cannot list resource "storageclasses" in API group "storage.k8s.io" at the cluster scope
2021-08-17T17:50:42.2284219Z stderr F E0817 17:50:42.228258       1 reflector.go:138] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.StatefulSet: failed to list *v1.StatefulSet: statefulsets.apps is forbidden: User "system:kube-scheduler" cannot list resource "statefulsets" in API group "apps" at the cluster scope
2021-08-17T17:50:43.3291656Z stderr F I0817 17:50:43.328989       1 shared_informer.go:247] Caches are synced for client-ca::kube-system::extension-apiserver-authentication::client-ca-file 
2021-08-17T17:50:44.9353889Z stderr F I0817 17:50:44.930283       1 leaderelection.go:243] attempting to acquire leader lease kube-system/kube-scheduler...
2021-08-17T17:50:44.9544204Z stderr F I0817 17:50:44.953593       1 leaderelection.go:253] successfully acquired lease kube-system/kube-scheduler
